,word,x,y
332,Hawa,-0.91159695,0.43113926
333,malu,0.2989226,1.6455058
334,Sebermula,1.7163471,0.5127634
335,ular,0.23745742,-1.742289
336,terlebih,-0.8662041,0.92285585
337,cerdik,-1.0455586,-0.39984444
338,Barangkali,0.99782175,0.015059981
339,begini,0.7812318,0.5781306
340,Jangan,0.02424062,-0.0058902362
341,sahut,-0.47520122,1.7036612
342,Boleh,0.51751155,-1.63339
343,kami,0.046394374,-1.352564e-05
344,atau,0.046413872,-1.3623649e-05
345,jamah,0.39176497,-1.1425142
346,jangan,-0.15399113,-0.35789862
347,Niscaya,0.31596553,-1.1504549
348,diketahui,0.8886878,-1.4803835
349,jika,0.04641071,-1.3294059e-05
350,ketika,-1.0485412,-1.4068445
351,celiklah,0.6675883,1.6546273
352,matamu,0.082291976,-0.41187286
353,seperti,0.046382308,-1.0837197e-05
354,mengetahui,0.33776146,-0.05967067
355,sedap,0.49223283,1.2430024
356,sebatang,-0.5450977,-1.6678811
357,asyik,-0.0139387585,0.36043164
358,mendatangkan,0.81278074,0.5289058
359,budi,-0.12772846,-0.3793294
360,diambilnya,0.045349676,-0.560238
361,buahnya,-0.80974144,0.351513
362,dimakannya,-1.1047648,-0.21528459
363,diberikannya,0.33484906,-0.058266524
364,lakinya,0.83049047,0.26637807
365,iapun,0.0714297,-0.044141926
366,makanlah,-0.25464535,-0.5601751
367,matanya,0.652662,-0.9225657
368,diketahuinyalah,0.7280802,-0.8306577
369,daun,0.17669685,-0.38870794
370,ara,-0.05731085,-0.12134369
371,diperbuatnya,-0.4952556,-1.0369881
372,cawat,-0.38691795,-0.4671524
373,kedengaranlah,-1.6828524,-0.41982487
374,suara,-1.7016128,0.23222691
375,berjalan,-0.012699969,0.046622783
376,jalan,1.314071,-1.2574688
377,angin,0.8177131,0.41863492
378,menyembunyikan,0.018205116,0.13855587
379,dirinya,0.061458897,0.13323459
380,hadirat,-0.52785945,-1.0964675
381,belukar,0.5211784,-0.017243236
382,berseru,0.81469774,0.5459362
383,Di,-1.6403555,-0.03479274
384,manakah,0.75225365,-1.066922
385,kudengar,-1.193361,0.6605031
386,Mu,-1.6987461,0.21928382
387,takutlah,0.9058171,0.255341
388,aku,0.04639467,-1.3475763e-05
389,telanjang,0.24404985,1.0338237
390,bersembunyi,-0.01948258,0.033461414
391,Siapa,0.36608067,0.8113383
392,gerangan,-0.013115194,0.35942146
393,memberitahu,-0.69860923,-1.6061082
394,Sudahkah,-1.2432257,0.21761554
395,Kupesan,-0.76923436,1.5965897
396,karuniakan,0.671567,-1.6220232
397,kepadaku,-0.19038025,-1.7589484
398,daku,0.89507085,1.519963
399,kumakan,-1.5543432,0.6939073
400,Apakah,0.04639069,-6.006874e-06
401,kauperbuat,0.73201674,-0.35348532
402,Si,1.1052651,-1.4320091
403,menipukan,-0.012986649,1.7243812
404,Sebab,-0.30142117,1.7539129
405,berbuat,0.013580723,-0.009722499
406,terkutuklah,-0.7985327,0.78212285
407,hutan,1.7687349,-0.48761916
408,perutmu,-0.62137985,-1.0358949
409,engkaupun,0.024997888,-0.0035438815
410,sepanjang,-1.0494481,-1.40106
411,umur,0.42893848,0.14653014
412,hidupmu,-1.1179215,-0.14524913
413,mengadakan,0.192837,0.11796452
414,perseteruan,0.23102614,1.6650565
415,antaramu,0.4366862,-0.9004694
416,antara,-0.73828715,-0.15067102
417,benihmu,-0.3192128,0.21788716
418,benihnya,0.016415486,0.82818455
419,meremukkan,0.03309548,-0.0067129163
420,kepalamu,1.5988635,-0.85258824
421,tumitnya,-0.7252513,-0.20983624
422,menambahi,-1.6251605,-0.5817475
423,sangat,0.046410777,-5.531587e-06
424,kesusahanmu,-1.4106448,0.936347
425,mengandung,-0.56160104,0.4651688
426,beranak,0.52630216,0.0058812797
427,takluk,0.073505215,-0.754233
428,lakimu,0.02922605,-0.013338533
429,dikau,-0.052497815,-1.3440263
430,mendengar,1.1360444,-0.3872877
431,binimu,-0.8619828,-0.65391266
432,kepadamu,-0.6012279,1.5178837
433,kesusahan,0.046444762,1.7423564
434,hasilnya,0.60503024,-0.14728935
435,seumur,0.2504672,1.1903902
436,bagimu,-1.1548219,0.19718452
437,duri,1.7487149,-0.5550434
438,onak,0.009233926,0.13665904
439,sayur,0.60638803,-0.1195815
440,sayuran,0.0593123,-0.56164426
441,ladang,0.017065445,0.13761328
442,berpeluh,1.5431224,-0.90622216
443,mukamu,1.7964042,-0.39996475
444,rezekimu,0.013584213,-0.010406365
445,sehingga,1.2422476,-0.3802155
446,kembali,-1.6601188,-0.06757566
447,adamu,-0.08637343,0.51516396
448,abupun,-1.6356801,-0.10173302
449,dipanggil,-0.014996956,0.8676216
450,bininya,-0.6657404,-1.0072649
451,ialah,1.6542453,0.659135
452,sarung,-0.8482815,0.95355356
453,kulit,1.8080702,-0.23873019
454,dikenakan,-0.8013589,-0.85783553
455,Bahwasanya,-0.9756958,0.319206
456,bagaikan,-0.9438114,0.38352963
457,diketahuinya,0.20549768,0.78386164
458,sekarangpun,-0.60192204,-0.41586038
459,mengedangkan,-0.006858369,0.839927
460,tangannya,0.40887627,-0.35525036
461,mengambil,-1.0337787,-0.20794009
462,selama,0.017865743,0.13697405
463,lamanya,0.079509094,-0.14616176
464,disuruh,-1.6488875,-0.51539636
465,keluar,0.35418928,-1.7206643
466,dihalaukan,-0.34002745,0.3156506
467,luar,-0.46755123,1.2222849
468,kerubiun,0.86667484,0.32144156
469,arah,0.42269912,1.6788085
470,pedang,-0.20622657,-1.1901752
471,bernyala,0.102198705,0.09805968
472,nyala,0.6994876,0.6168754
473,dilayamkan,0.4914367,-1.1849808
474,menunggui,-0.14525831,1.2443533
475,bersetubuhlah,1.2203885,-1.3489566
476,hamillah,-0.3887591,0.0693015
477,beranaklah,0.8768161,0.3096033
478,Kain,0.060079288,0.13311431
479,katanya,0.13766342,0.09233997
480,beroleh,0.21732374,0.77581155
481,Kemudian,-0.24123468,-0.12897164
482,diperanakkannya,1.0045655,-0.09143152
483,Habel,0.3518709,0.002595121
484,adik,1.2497169,0.35386255
485,gembala,0.14621763,-0.39480966
486,kambing,-0.93827975,-0.70615
487,peladang,-0.32474414,0.68184125
488,sekali,0.20345747,-0.37168363
489,peristiwa,1.1526928,-0.88015
490,kesudahan,-0.5411843,-1.6716136
491,hasil,-1.6936803,0.1739265
492,persembahan,-1.6243958,-0.08683574
493,kambingnya,-0.3399379,0.66636914
494,sulung,0.3683067,0.3901955
495,berkenanlah,0.028167319,-0.005716752
496,persembahannya,-0.1524562,1.7798288
497,berkenan,-1.6515937,-0.009015189
498,marahlah,-1.5423728,0.7271213
499,mukanyapun,-0.49066257,0.09316991
500,tunduklah,-0.81934303,-0.8388371
501,Mengapa,-0.022978202,0.033583496
502,marah,-0.83097017,-0.8383633
503,tunduk,-0.012715723,0.36277196
504,J,-0.45065683,1.7098067
505,ikalau,-0.33029208,-0.92451376
506,bukankah,0.6025467,-0.12510145
507,tengadah,-1.6918296,0.30616692
508,jikalau,0.91538626,0.25351098
509,dosa,0.004806235,-1.3638772
510,sedia,1.1384808,-0.8439226
511,pintu,-0.2366158,-0.5576305
512,Bukankah,0.5675703,-0.50429213
513,kehendaknya,-0.44046128,-0.42898694
514,berkata,-0.923853,0.5407165
515,adiknya,-0.6966156,0.089137994
516,berbangkitlah,0.34955975,0.38249564
517,lawan,-0.028936924,-0.27787822
518,dibunuhnya,-1.1549524,0.4115097
519,mana,-1.0810163,-0.22530712
520,adikmu,-0.8489378,0.63175005
521,sahutnya,-0.009705468,0.3840852
522,tahu,0.046389222,-2.9650253e-05
523,Akukah,0.7426326,1.5769019
524,penunggu,0.2196363,0.75720286
525,adikku,0.011305919,1.7456629
526,Apa,0.04639076,-1.3290935e-05
527,kaubuat,0.39711204,-1.1399112
528,darah,0.014207508,-0.040528983
529,Ku,0.6156771,-0.45992988
530,mengangakan,1.4181157,-0.33954516
531,mulutnya,-1.1075361,-0.19076787
532,menerima,0.6508856,-0.41969633
533,tanganmu,-0.96135676,0.34035984
534,Apabila,0.017241998,0.13992737
535,mengusahakan,0.2955587,-1.1871578
536,kelak,0.19234407,-1.0551646
537,niscaya,-0.34060237,0.31315818
538,diberinya,-0.67295194,-0.0012915349
539,mengembara,0.008155985,0.45383868
540,sesat,-0.38545418,-0.45004746
541,sembah,-1.1955382,0.34806627
542,dosaku,0.3585766,0.39174652
543,kutanggung,0.074504465,0.12937099
544,Engkau,-1.2767344,1.0991361
545,menghalaukan,0.9477859,-0.12434279
546,terlindung,0.5965236,1.6838697
547,barangsiapa,-0.32000548,0.20026833
548,bertemu,0.08408373,-0.4208559
